Etablissement	Nom de famille	Prenom	Date	Heure	ID National	Lib. Structure	Voeu 1	Voeu 2	Voeu 3	Voeu 4	Voeu 5
Campus Agronova	N1	P1	26/03/2026	14:15	120364482AF	1STAV	Conf16	Conf17	Conf3	Conf15	Conf7
Campus Agronova	N2	P2	26/03/2026	14:15	120665572AD	1STAV	Conf2	Conf6	Conf10	Conf18	Conf19
Campus Agronova	N3	P3	26/03/2026	14:15	120177805FE	1STAV	Conf3	Conf18	Conf17	Conf2	Conf11
Campus Agronova	N4	P4	26/03/2026	14:15	120410625DE	1STAV	Conf3	Conf8	Conf16	Conf13	Conf17
Campus Agronova	N5	P5	26/03/2026	14:15	090695749CH	1STAV	Conf13	Conf1	Conf15	Conf18	Conf8
Campus Agronova	N6	P6	26/03/2026	14:15	120410958JK	1STAV	Conf15	Conf14	Conf7	Conf8	TR5
Campus Agronova	N7	P7	26/03/2026	14:15	120338033HA	1STAV	Conf14	Conf1	Conf5	TR2	TR3
Campus Agronova	N8	P8	26/03/2026	14:15	120688761KE	1STAV	Conf16	Conf13	Conf6	Conf18	TR1
Campus Agronova	N9	P9	26/03/2026	14:15	120502022BB	1STAV	Conf9	Conf7	Conf14	Conf13	TR6
Campus Agronova	N10	P10	26/03/2026	14:15	120502023BA	1STAV	Conf10	Conf9	Conf11	Conf8	Conf12
Campus Agronova	N11	P11	26/03/2026	14:15	120338342FC	1STAV	Conf6	Conf13	Conf12	TR5	TR4
Campus Agronova	N12	P12	26/03/2026	14:15	120140327KA	1STAV	Conf10	Conf18	Conf6	Conf5	FM1
Campus Agronova	N13	P13	26/03/2026	14:15	120337971DF	1STAV	Conf15	Conf5	Conf9	Conf10	Conf16
Campus Agronova	N14	P14	26/03/2026	14:15	120502050JA	1STAV	Conf19	Conf10	Conf3	TR5	FM1
Campus Agronova	N15	P15	26/03/2026	14:15	120565368AG	1STAV	Conf16	Conf5	Conf14	FM1	Conf17
Campus Agronova	N16	P16	26/03/2026	14:15	120866368KE	1STAV	Conf7	Conf4	Conf5	Conf9	Conf1
